7FF5243D	7B01D94D 7024B10A 6CF88109 7EAC500B 8072B11C 77EA7CBA 5E487DF4 75216A67 7D237E93 75C624FD 76E62784 808DBBD8 8098DA19 7DA414E6 7E376495 7E75C54C 7D21F9EC 7D3D08AC 7EC02457 7FCD0970 862D53FC 77264EF3 7B36D4EE 7D1FEBF4 7DE2B4D4 80287445 7F5BEDDF 815EA74C 7D61C373 7DF65971 7898FFE4 81194354 7E98C4F4 8108F37C 7EE842A7 7E44A2B7 807E4795 7AE74DC6 77CCFE25
7D9F9F38	7B294988 5F947747 7D201DA5 7FAD63D2 807ECB28 80146BDE
7FAC0A49	7ABC5CF8 7F762D89 7AA384E7 812F7B09 7DF2AC8D 7D375AC5 7E201639 81618C37 7F9F4359 7E75C54C 80C766D7 7C5AC6B2
80D3EBA7	7F3B61CC 76CF1CEE 7CACB13A 7DE38760 7CF2996F 7D4DFCCA
7F92FD71	082AD4E5 7D8B769C 68FCAE54 7E78A641 04006A68 80D6D191 7D9FF320 79843FFB 7EC2D89D
84326967	78A65BC7 7603313A 59A5F7B7 59A610DF 75780892 7FB4A158 7F1ED01A 7F23E8F1 103948C2 7C36DE6B 7643C8E7
7F956653	7DB7D76C 77EB08E9 7A978272 800EC87E 0486DCC5 7D1CE8F6 79B65925 7EF6CCE0 61B49EC1 8178F69D
80EF3F6D	815071B6 7984615E
7730D6BA	7E6ED74C 8164C5E2 812B2866 5E0F9A2F 7322942E 5D1B7FBD 80DFD4C1 77C7F85B 7EB2313D 801478AD 752F7ADA 755C16FF 5B2F81AD 7E7646F7 7DCA609D 58928414 7F5B46D2 7DE3BCB2 7F5AFC40 7A2FF7D4 7D08F3AC 7E3F442A 80266804 7E5FFD00
7D282401	0688626E 7D3573FE 7E2CAF16 851BDB24
7A233CD5	7B1E7275 7DC9F531 801F71A3 7B3A6543 5A746320 5BECED8B 5F4D6C6E
810C64A9	5FBE8014 7F971CC7 8118A60B 7C3E3D02 7E7B3830 7E86DF21 80E7C82B
801059C5	776135C5 79AA8FC8 80919E0E 7B7E316F 7FEEA67C 78FAAC3D
78AD937E	5C654208 7E4B8249 7C220188 78E58EB3 7D1FEBF4
7D5F86C2	7EA376B2 7E995443 80D47052 5A0C09FE 62A7AB3A 7F10C9C1 7ABA9E15 7B36D4EE
80FCFF8F	7F8D0077 7AAAF6B2 7E7D38C5 7C6A64EA 7E236037 7A0FC80C 7DA2ACC1 779D3B9D 77A42250 758423D8 7D80D17C
80D5A7F5	5852BCFF 7C51FDD5 77174D22 8199C965 7BF6E9B5 7E53EF47 5EA50BF0 8088260C 5B9F6398 7F442E6D 7E1BBEB8 7696B7BB 7675546C 7A9E02C2 7705E955 80349B61 7C117700
615BE006	80B2292E 7FDC8E88 7E0DA43D 7D90241A 0148E19D 59F0EAA6 5C737A4B 098F62EC 7BD15E68 7C4A8F6B 802627F2 7DE64120 7F30D6FC
7D08F393	75A6230C 7704355C 779F7B57 7E5AE1BD 75E41A7B 78BA6096 772F5407 77492DC7 7C2B2F06 7F404B2C 58651649 7D6FFDE2 8018983D 63E4C712 80CCC54C 7C53C02C 7FB20670 76C3CBCD 7DED639C 781EC6EB 798E2A8B 7678CF92 761C7BAF 7F459F22 79F495FD 7F61CF17 77EBBC90 587EFBBD 774570A0 07AB7E46 62780301 7F2A78BD 7BBF0D3B 802733C0 79171348 7925FF30 805C2D73 75E6AF4F 5D0EC709 7854E9AA 7D591A99 80E09158 04AC6333 7660CBDB 7CF599A2 7B86467B 7D552710 7DD89CE4 7CC8B288 6BDC01D7 7E3777A7 7F0BA861 7D01ABDD 81D5A41E 06784451 744F11D2 77A3C30B 80AA5FFC 7CBDCE9B 7CFA4622 7FBB0592 81507763 79D12423 818B0C8C 76BCCCA5 816E54EA 5FA33543 771E3B13 7A40F6E1 6F4C8A5E 7D640547 08170DB1 7D7273F6 7D8338B9 720D4AB4 764695F6 7D722BCC 0403EF79 060538B1 7C22FBA0
