7E3B4287	Information not present<---Pattern Recognition and Neural Networks
7FB3992C	Knowledge Acquisition<---Detecting and correcting errors in rule-based expert systems: an integration of empirical and explanation-based learning
7870A2E1	Communications of The ACM<---Connectionist expert systems
591B35CE	Web-Age Information Management<---Efficiently Mining Interesting Emerging Patterns
7EB8DA34	IEEE Transactions on Power Systems<---A simple direct method for fast transient stability assessment of large power systems
7F7A17BF	IEEE Transactions on Systems, Man, and Cybernetics<---A new approach to handling fuzzy decision-making problems
7FF91DE2	Neural Information Processing Systems<---Comparison of three classification techniques, CART, C4.5 and multi-layer perceptrons
768C8788	Antonie Van Leeuwenhoek International Journal of General and Molecular Microbiology<---A review of numerical methods in bacterial identification.
7F9AEE1E	Proceedings of the IEEE<---On the decision regions of multilayer perceptrons
75FB87EB	Journal of the American Statistical Association<---The foundations of factor analysis
77B89CF8	Systems Research and Behavioral Science<---Performance of a Reading Task by an Elementary Perceiving and Memorizing Program
7F50C661	Machine Learning<---The CN2 Induction Algorithm
7FEFD79D	Machine Learning<---A Distance-Based Attribute Selection Measure for Decision Tree Induction
7E979D13	IEEE Transactions on Applications and Industry<---MLC++: a machine learning library in C++
7CB4D174	IEEE Intelligent Systems<---Overcoming process delays with decision tree induction
79C90AA5	IEEE Transactions on Computers<---Error and Reject Rates in a Hierarchical Pattern Recognizer
7BD35E85	Communications of The ACM<---On the complexity of computing the measure of ∪[a i ,b i ]
5BA20C0F	Information not present<---On uncertainty measures used for decision tree induction
5A1D91D9	International Conference on Machine Learning<---Learning to fly
80DB9A03	IEEE Transactions on Aerospace and Electronic Systems<---Optimal multiple level decision fusion with distributed sensors
802BD0A6	Proceedings of the IEEE<---Backpropagation through time: what it does and how to do it
7D04B4FC	Intelligent RObots and Systems<---Qualitative spatial understanding and reactive control for autonomous robots
7A7FE8B9	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Problem-Solving Models and Search Strategies for Pattern Recognition
7587F5D6	Artificial Intelligence<---Recursive distributed representations
7C5A0CDB	Statistics in Medicine<---Partitioning methods for classification and decision making in medicine
01EA1E5A	International Joint Conference on Artificial Intelligence<---Reduced Complexity Rule Induction
78C72F3F	Transactions on Rough Sets<---An Overview of Machine Learning
5C04CE70	Information not present<---Recent Results on Boolean Concept Learning
78A14E0A	Neural Networks<---Statistical analysis of self-organization
7E6B77B8	Neural Information Processing Systems<---Comparing biases for minimal network construction with back-propagation
5EBBC7A7	Information not present<---NP-completeness of problems of construction of optimal decision trees
812E70B7	Proceedings of the IEEE<---Mathematical foundations of neurocomputing
7EE94688	IEEE Transactions on Computers<---Correlation Matrix Memories
7821E695	Fuzzy Sets and Systems<---Induction of fuzzy decision trees
76937A23	Communications of The ACM<---Conversion of limited-entry decision tables to computer programs
77267DD5	Machine Learning<---An Empirical Comparison of Selection Measures for Decision-Tree Induction
7FCDFA4F	Proceedings of the IEEE<---Industrial applications of fuzzy logic at General Electric
7F627B23	IEEE Transactions on Systems, Man, and Cybernetics<---A connectionist approach to generating oblique decision trees
5E6558E7	International Conference on Machine Learning<---A practical approach to feature selection
7985CEA1	Knowledge Discovery and Data Mining<---Efficient mining of emerging patterns: discovering trends and differences
03DA064C	Journal of the Operational Research Society<---Expert Systems|[mdash]|Rule Induction with Statistical Data
80089488	International Symposium on Neural Networks<---Self-organizing network for regression: efficient implementation and comparative evaluation
77D11BD0	Sigplan Notices<---Conversion of limited-entry decision tables into optimal decision trees: fundamental concepts
5D12BD74	Information not present<---Neural Networks: a comprehensive foundation
763E0343	Neural Networks<---Minimum class entropy: a maximum information approach to layered networks
7C336E3D	Communications of The ACM<---On storage space of decision tables
7F48D3B2	International Joint Conference on Artificial Intelligence<---An experimental comparison of symbolic and connectionist learning algorithms
743F7635	International Conference on Acoustics, Speech, and Signal Processing<---Full search and tree searched vector quantization of speech waveforms
0044EFFA	Information not present<---Speaker Normalisation for Automatic Speech Recognition
7A2AC91E	IEEE Transactions on Software Engineering<---A Methodology for Collecting Valid Software Engineering Data
80902864	International Conference on Acoustics, Speech, and Signal Processing<---Efficient codebook allocation for an arbitrary set of vector quantizers
11077CCB	Information not present<---Optimal and Heuristic Synthesis of Hierarchical Classifiers.
5DBB49FA	Information not present<---Learning to Predict Sequences
79BA7BE4	ACM Sigarch Computer Architecture News<---An introduction to computing with neural nets
086F92BB	Information not present<---Nonanalytic concept formation and memory for instances
755A03B8	Information not present<---The Handbook of Artificial Intelligence
78ADFC85	ACM Transactions on Mathematical Software<---An Algorithm for Finding Best Matches in Logarithmic Expected Time
5F18EACD	International Conference on Machine Learning<---Reducing Misclassification Costs
7893B247	Fuzzy Sets and Systems<---Neuro-fuzzy ID3: a method of inducing fuzzy decision trees with linear programming for maximizing entropy and an algebraic method for incremental learning
08A7E3B1	National Conference on Artificial Intelligence<---Acquisition of Appropriate Bias for Inductive Concept Learning
6EEF12C0	Information not present<---Induction in Noisy Domains
763F2551	IEEE Transactions on Electronic Computers<---A Suggestion for a Fast Multiplier
7AF268C1	IEEE Transactions on Systems, Man, and Cybernetics<---Fuzzy logic in control systems: fuzzy logic controller. II
7D35CBC0	Machine Learning<---Learning to Predict by the Methods of Temporal Differences
58D1BB53	International Joint Conference on Artificial Intelligence<---A Task-Independent Experience-Gathering Scheme for a Problem Solver
76E9A3FF	Machine Learning<---Overfitting Avoidance as Bias
767E2748	International Conference on Software Engineering<---A meta-model for software development resource expenditures
5CA20B07	International Symposium on Neural Networks<---A mapping from linear tree classifiers to neural net classifiers
0B89C91B	IEEE Transactions on Computers<---An Algorithm for Constructing Optimal Binary Decision Trees
097FE30C	IEEE Transactions on Information Theory<---The condensed nearest neighbor rule
7795FBA9	Engineering Applications of Artificial Intelligence<---On-line learning of fuzzy decision trees for global path planning
5AB57B55	Information not present<---ROC graphs: Notes and practical considerations for researchers
