7C85869B	Wide angle Earth sensor
61F8AB06	Detection of laser radiation by means of forward scattering in the atmosphere
5EE0BF6B	An Introduction to Optical Stellar Interferometry: The hypertelescope
80A9E71B	VERITAS: the Very Energetic Radiation Imaging Telescope Array System
62963A40	Fiber Optics at ESO - Part Two - Fiber Optics Multiple Object Spectroscopy at the 3.6-METER Telescope
6141D2AA	Parallel optical coherence tomography using a CCD camera
02D9C71A	Very high resolution analysis of the dynamics of a coronal plasmoid.
00ABDCA3	The JEM-.EUSO instrument on the ISS: an overview
7B610578	Increasing the useful field of view of an adaptive optics system
034581D6	ACS Flat Fields and Low-order ``L-flat
758B77B8	Using MTF for automated gated imaging system in turbid medium
30E72D25	Studies of Supernovae, SNR, and Dust with the James Webb Space Telescope
77023E74	Solar Confocal Interferometers for Sub-Picometer-Resolution Spectral Filters
752D1F31	GPS Interference Cancellation Performance in Single and Multiple MVDR Beamforming Methods
60C8B3A9	AGILE and the Gamma‐Ray Bursts
2CE3DD72	Integrated Formation Optical Communication and Estimation System
7A7984F9	In-factory calibration of multiocular camera systems
7B46F9AE	A dual view catadioptric endoscope for fluorescence endoscopy
771A9B15	Ion implanted InSb photodetectors
80C08ECE	Monitoring forest succession with multitemporal Landsat images: factors of uncertainty
59528DA0	X-ray observations of the first QSOs
767B5DA3	A Swift gaze into the 2006 March 29th burst forest of SGR 1900+14
7688D021	Tools for designing camera configurations
75F9D368	V-FASTR: The VLBA Fast Radio Transients Experiment
800AF213	The Wide Field Imager of the International X-ray Observatory
79C3BCA8	AIRIS multispectral imaging chemical sensor
78EFC7D2	Field widening a Michelson interferometer in convergent light
5CD247E1	Measuring EUV Line Emission from the Hot Interstellar Medium
7921D41A	A hemispherical imaging and tracking (HIT) system
01221FF8	Applications of 2D BES Turbulence Measurements in DIII-D
0838196B	Dynamics of air gap formation around roots with changing soil water content.
31AB6009	Head-Mounted and Head-Up Display Glossary
7D31362D	Cone-beam iterative reconstruction of a segment of a long object
778B6676	Very large telescope kinematics for omega Centauri: Further support for a central black hole
7914A38C	Vector coupled-wave analysis of hemispherical grid gratings for visible light
7647306F	Full data utilization in PVI using the 3D radon transform
0327D0FB	Multiple Spatial Scales of Mercury's Sodium
799048A5	Image quality criteria for wide-field x-ray imaging applications
6E9D1C96	Soft gamma-ray optics: new Laue lens design and performance estimates
7EFAA2E9	Experimental results for adaptive radar imaging in a wide angular sector
7ECD84E0	A Full-FOV iterative algorithm applied to pixilated scintillation crystal
7594AC84	An Efficient Method of Tracking across Multiple Cameras
62A7A937	Fabrication and Evaluation of Chirped Grating Lenses in Lithium Niobate Waveguides.
7CADA20B	Results from the AIM-IT Meteor Tracking System
7EB26373	Clinical experience with Matrix2 360° coils in the treatment of 100 intracranial aneurysms
627EC544	A Look Forward to Star and Planet Formation with the NGST
58B298DF	Knots in the Helix Nebula found in H2
780FC04E	Target tracking based on video sequences
6370CCCC	The Structure of Faint, High-latitude, Warm Ionized Gas
7EE6B2EA	Track-before-detect processing for an airborne type radar
7F8884BA	Preferential direction control for visual servoing based on orthogonal curvilinear coordinate systems
7FB50C95	Foveated texture mapping with JPEG2000 compression
627A9C37	The HIRDLS instrument's measured radiometric performance to date andits impact on retrieval products
834FE009	Development of Field of View for Ground-based Optical Telescopes in Adaptive Optics
6157FF14	Multi-link optical communications system
61DD23ED	NAVIGATOR: Autonomous navigation system for planetary exploration landers based on stereo vision
7001CAD9	Dynamically reconfigurable vision with high performance CMOS active pixel sensors (APS)
78210470	Holographic telescope design for narrowband imaging in the far ultraviolet
61ADD108	Automatic system for star coordinate determination
5DD80F4D	The Optical Proper Motions of HH 7-11 and Cep E (HH 377)
63546B39	A system for three-dimensional SPECT without motion.
5EC56E18	Space Weather Mission of SmartSat Program
60B1106C	Scalar measurements and analysis of hydrogen gas jet diffusion flames in normal and microgravity
77F6687D	EUSO - Extreme Universe Space Observatory
7AE1E92F	Stellar photometry including saturated images: Results on M67 with WFPC2
7C70EBDE	Interfacial tension measurement of Ni-S liquid using high-pressure X-ray micro-tomography
7E27F036	Observation of Soft Contact Lens Disinfection with Fluorescent Metabolic Stains
0C0B7F13	Halpha Emission of the HII region BSF8
76C44D6F	Prevention of the pathophysiologic effects of acceleration in humans: fundamentals and historic perspectives
77C79D00	Bireflectance imaging of coal and carbon specimens
7D284AB8	Design of thick apertures for high-resolution neutron penumbral imaging
76ED6DAE	Heart imaging by cadmium telluride gamma camera
7CA3C91C	High-resolution tomographic imaging of vacuum magnetic surfaces in the H-1 heliac
777308D0	Dark-field electron holography for the mapping of strain in nanostructures: correcting artefacts and aberrations
556E88BB	Image Mosaicing using Cylindrical Mapping
7D4FE835	The Raytheon-SORDS trimodal imager
7702B3FF	Miniaturized digital high-angular-resolution laser irradiation detectors (HARLID) for laser warning receivers (LWR)
782CF5F5	Studies of the field-of-view resolution tradeoff in virtual-reality systems
7F3314A3	The antenna properties of optical heterodyne receivers
0C6B130B	Ultraviolet Galaxy Number Counts From Swift UV/Optical Telescope Observations of the Extended Chandra Deep Field South
78B60D0F	Investigating the effect of Opacity in Soft X-Ray Spectral Lines Emitted by Solar Coronal Active Regions
78FEA6A4	Fusion of Medical Microscopic Images Based on Estimation and Compensation
754F4F68	Observation of two-color ghost imaging
3070FB3F	Video-Camera-Based Position-Measuring System
77C4F29A	Development of a hard x-ray polycapillary telescope
783AD274	Direct Imaging of Lattice Atoms and Topological Defects in Graphene Membranes
5E484012	Interferometers adaptations to lidars
7707B9DC	Broadband operation of a gain-switched Ti:sapphire laser for measurements with the coherence radar
7A6C4046	Sensor features and performance guidelines for use in product inspection
7FFD7268	Retrieval chlorophyll-a concentration in the Taranto coastal area using remote sensed data
76EE6CDD	Parameters that influence accuracy and precision of quantitative coronary arteriography
78FCC73C	Threat assessment of aerial target in ultra-wide field of view infrared image
77D8AF73	Object dependent sweep width reduction with spectral-spatial EPR imaging.
2E5AE25E	Comparison of thermal (FLIR) and television images. [in natural and man-made target detection and identification
85F322CE	Design and Performance of a Distributed Aperture Millimeter-Wave Imaging System using Optical Upconversion
5DFDD365	Arrangements Applied to the Mars Science Lab Camera Mast
7A4B8621	In vivo camera robots provide improved vision for laparoscopic surgery
13F040FB	SIMULATIONS OF TURBULENCE INDUCED ELLIPTICITY OVER LARGE FIELDS-OF-VIEW: THE FIRST STEP TOWARDS ENABLING LSST WEAK LENSING SCIENCE
809EE416	Multifunction array lidar network for intruder detection, tracking, and identification
7DB48446	Multireference adaptive optics and problem of widening field-of-view
7F26C584	Block-matching algorithm for mitigating aliasing effects in undersampled image sequences
7C53E9E7	Mobicast: a system for collaborative event casting using mobile phones
7603ADB5	Optical design and analysis of the James Webb Space Telescope: optical telescope element
7F76BD87	Optimization of the field of view of a Brillouin-enhanced four-wave-mixing phase conjugator
7897D3BB	Thermal radiometry : a rapid means of determining surface water temperature variations in lakes and reservoirs
7A0F34DD	Tandem collimators for the JET tangential gamma-ray spectrometer
3DAB75DB	Maser Sources in Astrophysics: Observations of masers
760E0861	A Review of the Perceptual and Cognitive Issues Associated With the Use of Head-Up Displays in Commercial Aviation
7F4D020F	Dynamic echo planar MR imaging of lung ventilation with hyperpolarized 3He in normal subjects and patients with severe emphysema
77B34EF7	Protective effects of cyclosporine and allopurinol on transient global cerebral ischemia in gerbils
5D9722E7	In-flight scale/distortion calibration of the Hubble Space Telescope fixed-head star trackers
75728452	Are CME “interactions” really important for accelerating major solar energetic particle events?
77704842	ADEOS II follow on program
61B212F5	The Star Formation Histories of High-Redshift Cluster Galaxies
77628E76	Design of UWB/WiFi Module based Wireless Transmission for Endoscopic Camera
5B23B970	RUCA: A System for Astronomical Imaging
762D409A	Performance of TRMM satellite data over the rain-gauge observations in Bangladesh
7689A9A2	Imaging by a sub-wavelength metallic lens with large field of view
02E048CB	Image Mosaics Based on Homogenous Coordinates
0114FEDF	Derivation of sub-footprint scale /Spl sigma/
5FDE76DF	Performance of list-mode data acquisition with ECAT EXACT HR positron emission scanner
81180AD9	Design of a mid-IR active imaging system for gas detection using a pulsed laser source
61073D6D	50–500 MeV γ‐ray emission in the early phase of SN1987A
78C6576A	Feasibility study of a γ-ray detector based on square PSPMT array for breast cancer imaging
76A14EF5	Optical attenuation in fog and clouds
5DF4C32A	Searching for an Intrinsic Stellar Population in Compact High-Velocity Clouds ∗
5CECC002	Research on forward field of view of trucks
2FAD35FE	An investigation of several aspects of LANDSAT-5 data quality. [Palmer County, Shelby, mt; White sands, NM; Great Salt Lake, UT; San Matted Bridge and Sacramento, California
7CC7CF60	Swarm aggregation using emotional learning based intelligent controller
5ADC15A8	Optical Analysis of Lenslet Arrays
6030912F	THE CLOUDSAT MISSION AND THE A-TRAIN
7D2CD007	Miniature Thermal Emission Spectrometer for the Mars Exploration Rovers
62394ABB	The REM Telescope: Detecting the Near Infra-Red Counterpart of Gamma-ray Bursts
618B5B36	Developing A Low-frequency Interferometer For Detecting The Epoch Of Reionization: Correlation, Calibration, And High Dynamic-range Imaging With Paper
07C413B5	CASTER - A Scintillator-Based Black Hole Finder Probe Based on Lanthanum Halide Scintillator
77F62C79	Measurement of mucociliary transport velocity in the intact mucosa.
7B42BD47	Detection and study of variable sources with wide field imagers
6386FEB7	Statistical analysis of inherent ambiguities in recovering 3-D motion from a noisy flow field
5964A5F4	A new infrared camera optical design
8077A8A8	Xrase: The X-Ray Spectroscopic Explorer
77F8EA6D	Sparse aperture detection and imaging of millimeter sources via optical image-plane interferometry
76FB7A06	Robust fringe analysis system for human body shape measurement
77ECBA3D	Risk of small field of view in lumbar spine computed tomography for assumed lumbar disc herniation: Beware contained ruptured aortic aneurysm
7C4DBF89	Smart adaptive array antennas for wireless communcations
64157D52	Lens-fed multiple beam arrays
588F5065	The International X-ray Observatory - RFI#2
779A4256	Inverse image alignment method for image mosaicing and video stabilization in fundus indocyanine green angiography under confocal scanning laser ophthalmoscope
7A29D2E6	A view planning method incorporating self-termination for automated surface measurement
5F3D5D50	Servo-controlled intravital microscope system
642BD783	Position measurements of Phobos shadows in HRSC and MOC images and implications for the Phobos orbit
76D1E0B8	Higher-order pupil aberrations in wide-angle and panoramic optical systems
2E376A46	Commissioning Results on the JWST Testbed Telescope
30116025	Saturn's Magnetosphere and Properties of Upstream Flow at Titan: Preliminary Results
5F2D71A3	Inclination of Large Coronal Loops Observed by TRACE
6317C946	Preliminary Design of a Lightning Optical Camera and ThundEr (LOCATE) Sensor
63E2F6BF	Performance evaluation of the solar backscatter ultraviolet radiometer, model 2 (SBUV/2) inflight calibration system
75CFE266	Histo-anatomical structure of the living isolated rat heart in two contraction states assessed by diffusion tensor MRI
78117A39	A system for finding a 3D target without a 3D image
7BD3CCE8	The future of head-up guidance
76EEA84F	Count rate performance and deadtime analysis of the new 3D PETRRA PET camera
76053CCD	Seasonal and interannual variability of chlorophyll in the East China Sea
7E78624C	Study of low cost continuous Gd 2 O 2 S:Pr powder scintillator screens in photon counting mode using a dedicated small nuclear imaging camera
5A7F862F	Automatic Differentiation Facilitates OF-Integration into Steering-Angle-Based Road Vehicle Tracking
7C7B8AB5	Ultrasound of the small joints of the hands and feet: current status.
639C3508	Sulfur concentrations of the Martian surface derived from orbital Mars Odyssey GRS and in-situ MER APXS measurements: implications on the selection of future landing sites
04FA4569	The Quest for Very High Redshift Black Holes
62073EA5	Electrical Discharges into the Stratosphere from the Tops of Intense Thunderstorms
63BF9A9A	Metallic abundances of the 2002 Leonid
7AFDF05E	Stardust Imaging Camera
5D778DE7	ENHANCED NAVIGATION SYSTEM WITH REAL IMAGES AND REAL-TIME INFORMATION
7A63BA6B	Optical plant sensor field-of-view determination
064B8315	X-ray Radiography Development for Measurements of Dense Targets
756FEED2	Combined Imaging and Chemical Sensing with a Disposable Microscope Objective Chemical Sensor
79359593	A Large Aperture and Field-of-View Telescope with 1-mm InGaAs/InAlAs Avalanche Photodiodes
7DB49714	In vivo fluorescence hyperspectral imaging of oral neoplasia
80DD86B5	Pedestrian tracking across panning camera network
7E706DD5	Sampling criteria for sensor simulation
7C1EBC19	XBSS — The X‐Ray Background Spectroscopic Survey
7A8E9BFB	Sulphur dioxide fluxes from Mount Etna, Vulcano, and Stromboli measured with an automated scanning ultraviolet spectrometer
7F14C173	COMPTEL observations of the 1.809 MeV gamma-ray line from galactic Al-26
7A2E72F5	Development of the real-time stereoscopic error corrector and convergence controller
7C9C63E0	Hole filling with random walks using occlusion constraints in view synthesis
803B8D82	Combination of foveal and peripheral vision for object recognition and pose estimation
7A5D9AFD	Direct path planning in image plane and tracking for visual servoing
765EA46E	Automatic brain cropping and atlas slice matching using a PCNN and a generalized invariant Hough transform
620156B9	Measuring Extinction with ALE
7C997FB2	Microslices and low-cost spectrographs for million-element integral field spectrographs
642C7E83	Suzaku Wide-band All-sky Monitor Observations of Gamma-Ray Bursts
2F493C1A	User's guide: Nimbus-7 Earth radiation budget narrow-field-of-view products. Scene radiance tape products, sorting into angular bins products, and maximum likelihood cloud estimation products
75FA8509	Particle velocity field measurements in a near-wall flow using evanescent wave illumination
60CB38CD	The New Solar Telescope in Big Bear: Polarimetry II
7A50CDE9	Using disparity in digital holograms for three-dimensional object segmentation
631D0A4C	The Lost Flux Method: A New Algorithm for Improving the Precision of Space-Based Near-Infrared Stellar Photometry with Lossy Detectors
049F8EE7	Resolution-Enhanced Imaging Based upon Spatial Depolarization of Light
07EDB5CB	Interferometric Arrays with a Wide Field-of-View
7B09551D	Visual Performance for Incandescent and Solid-State Cap Lamps in an Underground Mining Environment
637A54B4	Ultra-widefield telescope WIDGET for detecting optical transients
7AB15DB5	EUVITA - an extreme UV imaging telescope array with spectral capability
63300DC0	Applications and characterization of a confocal scanning laser MACROscope/microscope
5FB8B77A	Cadium-Zinc-Telluride (CZT) Gamma Ray Spectrometry
75304260	A Comparison Of Wide-Angle, Unobscured, All-Reflecting Optical Designs
7B6EA89D	Search for GeV GRBs at Chacaltaya
777D9BE4	Experimental results of the APERTIF phased array feed
6199DD19	New Transient X-ray Pulsars in the SMC (XTE J0103-728, XTE SMC144s)
5E4506CB	The MeV cosmic gamma-ray background measured with SMM
5BF45A55	Super-resolution modeling and visualization system with wide field of view
76D73919	Digital Motion Imagery, Interoperability Challenges for Space Operations
75B337C3	Advanced manufacturing technologies for reduced cost and weight in portable ruggedized VIS-IR and multi-mode optical systems for land, sea, and air
7AD88154	Longwave Infrared Camera onboard the Venus Climate Orbiter
798CBF8C	Experiment of Wide Field Cryogenic Telescope II (WFCT II) at Sutherland, South African Astronomical Observatory
756DD43C	Synthetic multisensor database generation and validation
7A30A317	Counting Figures in Planar Random Configurations
21EE21A6	Generating CAHV and CAHVOR Images with Shadows in ROAMS
5F8D30D5	A scanning stereoscope for minimally invasive biomedical applications
7E52A96C	New options in video surveillance applications using multiple views of a scene
770D0658	NEAT: A Microarcsec Astrometric Telescope
75CAFB0A	Extinction Map of Baade's Window
78007FB3	Evaluation of bivariate correlation ratio similarity metric for rigid registration of US/MR images of the liver
7AA9BD1B	Comparison of available measurements of the absolute air‐fluorescence yield and determination of its global average value
8039169D	Methods to reconstruct emission and transmission data in 3D PET
75E44578	Cassini star tracking and identification architecture
755A17D3	Infrared spectroradiometer design based on an acousto-optic tunable filter
70080288	Star magnitude and manual navigation sighting accuracy using the Apollo T2 sextant.
7A203313	DIOS: the Diffuse Intergalactic Oxygen Surveyor
08704556	Three-reflection telescopes - Two-mirror aplanatic solutions
79037C1D	Satellite observations of transionospheric pulse pairs
23474EBB	Contrast sensitivity and driver vision screening: an accident analysis
615853D4	The LMXB Population of NGC 3379
7163EE0B	Passive millimeter wave imaging sensor enhanced vision system
79BED7F4	Magnetic resonance imaging of the left atrial appendage post pulmonary vein isolation: Implications for percutaneous left atrial appendage occlusion
61F9C01A	Searching for Lyman alpha emission from a possible Zel'dovich pancake
7FC9EE32	A Hybrid Guidance Law for a Strapdown Seeker to Maintain Lock-on Conditions against High Speed Targets
5AB9B158	Recovering camera field of view lines by using SIFT algorithm and homograph
7800058B	Incorporation of Anti-Jamming Techniques in a GPS Receiver
79CB9D43	Varying interplanetary magnetic field By effects on interhemispheric conjugate auroral features during a weak substorm
77082346	Conceptual design and performance of the multiconjugate adaptive optics module for the European Extremely Large Telescope
7B78674A	Evidence for Resonance Line Scattering in the Suzaku X-Ray Spectrum of the Cygnus Loop
77EF5A06	Near Infrared JHK Photometry of Intermediate Redshift Clusters
149A96F4	Can the total ozone mapping spectrometer (TOMS) measure ozone depletion in rocket plumes. Technical report
770A7983	Design of a Cylindrical Long-Slot Array Antenna Integrated With Hybrid EBG/Ferrite Ground Plane
79E16E7D	Towards real-time intravascular endoscopic magnetic resonance imaging.
62C91953	Structure of Wall-Eddies at Very Large Reynolds Number--A Large-Scale PIV Study
59D3F809	The use of super resolution in robotic assisted minimally invasive surgery
6861AA13	Partial non-Fourier encoded MRI
6050EC30	Towards an Ocean Color Data Assimilation System: Analysis of Ocean Color Products in the Context of Modular Ocean Data Assimilation System (MODAS) Three-Dimensional Temperature Fields
777BE6D0	CUBIC: x-ray CCD spectroscopy of the diffuse x-ray background
77F301D2	Estimation of the water optical properties and bottom reflectance from SHOALS data
741783E4	New digital processor for SPECT camera-correction of multiple-energy photon spatial distortion
7F2F73F5	Effect of an arm traction device on image quality and radiation exposure during neck computed tomography
77CD176F	An Advanced Radial Camera For The Hubble Space Telescope
81CF2D6B	Foramen magnum angle and its effect on visual field in two Apodemus murids
7AA2AD8C	Speckle pattern simulations for in-plane displacement measurements
7929C6DD	Diffuse Cosmic Gamma Radiation Measured by HEAO 1
75F9BA4D	A body-mounted camera system for head-pose estimation and user-view image synthesis
77BD0308	Lunar influence on the occurrence of aurora
7D074ECF	The WASP Project and the SuperWASP Cameras
5FF4E19D	Soil Moisture Retrieval Uncertainty From Soil and Vegetation Heterogeneity Over a Topographic Surface
7D2AD2A6	Development of the Top Hat Electric Propulsion Plume Analyzer (TOPAZ)
7E40405B	Visuomotor transformations for eye-hand coordination
76E9C924	Wide-field-of-view Schmidt-sphere imaging collimator
792A2BF9	Intelligent scanning system based on foveate wavelet transform
7BA79572	Computing the field-of-view of a stitched panorama to create for sensitive virtual environments
1115798C	Design, construction, test and evaluation of a frequency scanning radiometer tor measuring oil slick thickness. Final report, October 1992-April 1994
7E8AC3E4	SNR simulation with TDI set for lake water color monitoring oriented satellite RS system
79D6A1C8	A search for the 2.223 MeV neutron capture gamma-ray line from the directions of Cygnus and the Galactic center
8173E227	History of mass assembly and star formation in clusters
583E4F1F	Focal plane array optical proximity sensor
635EA7D1	Tamper-resistant television surveillance system
02E791A9	Integral Field Spectroscopy of the B and C Fragments of Comet 73p/ Schwassmann-Wachmann 3
4C105BDB	pO 2 Polarography Versus Positron Emission Tomography ([ 18 F] Fluoromisonidazole,
6195F46E	GLAST Large Area Telescope Capabilities and Physics Highlights
0B17ED53	From Bits to Bio-optics: Ensuring the Integrity of NASA's Multi-Sensor Ocean Color Data Products
5BEFB2F9	GLAST, The Next-Generation High-Energy Gamma-Ray Telescope
76C9BC2B	Instrumentation For Measuringdirect And Diffuse Insolation In Testing Thermal Collectors
63667D18	Design Aspects of Multi-Apertures Vision System Point Trackers that Use Apposition Eyelets.
76F5BF70	Vision-Based Robust Path Reconstruction for Robot Control
6229D6BA	The Absolute Calibration of the Ultraviolet Imaging Telescope
775E21D1	Confirmation of three candidate Galactic supernova remnants from GMRT observations
7EFFA160	A full scale photometric simulation facility for evaluating the luminous environment in office work applications
796B002C	The infrared cloud ice radiometer (IRCIR)
01BAE612	A First Look at Plasma in Titan's Ionosphere: Initial Cassini/CAPS Results
5F156F53	Microscopy with spatial filtering for monitoring subcellular morphology
76C1D25E	Three-dimensional magnetic resonance angiography of vascular lesions in children
63657B4A	Delft Testbed Interferometer
75649C63	INTEGRAL observations of the black hole candidate H 1743-322 in outburst
0475EA9A	SeaWiFS technical report series. Volume 25: Ocean optics protocols for SeaWiFS validation, revision 1
77B8C2E0	Quasi-min-max model predictive control for image-based visual servoing
75452D2D	Compact, self-contained enhanced-vision system (EVS) sensor simulator
75BDFB09	Low-magnification Quantitative X-ray Mapping of Grain-boundary Segregation in Aluminum-4 wt.% Copper by Analytical Electron Microscopy
7C9BAFB5	A wide-angle catadioptric lens with the rectilinear projection
5B92EB65	Design, fabrication and characterization of narrowband angularly-insensitive resonant cavity filter
78767B46	Near-Infrared Imaging Polarimetry of the NGC 2071 Star Forming Region with SIRPOL
257C4CB9	CAPTEURS A TRAITEMENT D'IMAGE POUR LA CARACTERISATION DE COMPORTEMENT DU CONDUCTEUR
78DFB20C	Selection, Prioritization, and Characteristics of Kepler Target Stars
77E0E9D2	On: “Fields of view of airborne gamma-ray detectors” by R. L. Grasty, R. S. Foote, and K. L. Kosanke (GEOPHYSICS, August 1979, p. 1447–1457) and “Design parameters for aerial gamma-ray surveys” by J. A. Pitkin and J. S. Duval (GEOPHYSICS, September 1980, p. 1427–1439).
70B0581C	[18F] fluoromisonidazole and [18F] fluorodeoxyglucose positron emission tomography in response evaluation after chemo-/radiotherapy of non-small-cell lung cancer: a feasibility study
7F6CE772	Coupling pulsed dye oscillators using a phase conjugate resonator
7ADF09A6	An economical wireless network monitored scheme for camera based intrusion detection at unattended sites
627986D5	Transiting Exoplanets from the WASP Project
7B352AEF	Tele-surgery simulation to perform surgical training of abdominal da Vinci surgery
7AFBCF6D	ACT-Vision: active collaborative tracking for multiple PTZ cameras
772AB9F8	A new method of dual FOV optical system design
5CB3B9FA	VEGA: A Visible Spectrograph and Polarimeter for the VLTI
7957209A	SNIFS: a wideband integral field spectrograph with microlens arrays
7D59EEA9	Electron Thermal Microscopy
629FA65C	Galaxy populations in the infall regions of z � 0.25 clusters
75E519BC	CMOS cassette for digital upgrade of film based mammography systems
75759F4C	Comparison of satellite-derived and model-generated diurnal cycles of cloudiness and brightness temperatures
0729EE12	WDR-PK-AK-018
7751E459	Figures of Merit to Characterize Integrating Image Sensors: A Ten-Year Update
7C791C1A	Initial performance evaluation of a high resolution Albira small animal positron emission tomography scanner with monolithic crystals and depth-of-interaction encoding from a user's perspective
6ABA76BA	The Cornell Caltech Atacama Telescope
77E6DB6F	Optics of wide-angle panoramic viewing system–assisted vitreous surgery
7EDB6E5E	Video-based traffic monitoring at day and night vehicle features detection tracking
635BDF3C	Surface scattering property of asteroid Itokawa from NIRS observations of HAYABUSA mission
80051832	Projection based methodology for designing non-periodic, planar arrays
75D287E8	Projected fringe profilometry using holographic techniques for large-scale measurements
77719A87	Absolute phase measurements using geometric constraints between multiple cameras and projectors
327BB8BD	Buried Quasars in Ultraluminous Infrared Galaxies
77FA8A9E	A polisher for patch pipets
7B322ECA	Error Analysis for Dual-Beam Optical Linear Polarimetry
7AF92B50	Raman-shifted eye-safe aerosol lidar (REAL) in 2010: instrument status and two-component wind measurements
5FFF404C	Astronomical characterization of 1024�1024 HgCdTe HAWAII detector arrays.
0575272D	Thermal Emission from the Crab Nebula
61B8AEB8	Grapho-analytical method of prediction of solar transits across the field of view of electron-optical systems.
7B4506AD	The Palomar Transient Factory Orion Project: Eclipsing Binaries and Young Stellar Objects
7E832CE8	NaCo/SAM observations of sources at the Galactic Center
0F0A722F	Comparison between irregularity motion and bulk plasma drifts at high latitudes. Final report, 28 July 1988-29 October 1991
0881FA2E	The effect of partial cloudiness on quantifying angular biases in GOES cloud property retrievals
7527A5B0	Next ELOP-Payload focal plane array
04BEFF69	XMM-Newton's Optical/Ultraviolet Monitor Telescope
61EA77D7	A Light and Effective Wide Field Monitor for Gamma Ray Bursts and Transient Sources
002AEDDB	High Angular Resolution X-Ray Astronomy with Diffractive-Refractive Elements
639E2E6E	The Canarias InfraRed Camera Experiment (CIRCE) and the Study of XRBs
7F93741A	Visual‐field‐specific heterogeneity within the tecto‐rotundal projection of the pigeon
7A8AE963	Wide-area traffic surveillance (WATS) system
77D19B5B	High performance type II superlattice photo diodes for long wavelength infrared applications
770FC9BB	Data Assimilation Experiments Using Quality Controlled AIRS Version 5 Temperature Soundings
76E15810	Acquisition of randomly moving objects by visual guidance
7A84F897	Observing the high redshift Universe using the VIMOS‐IFU
781B2074	Effect of CT scanning parameters on volumetric measurements of pulmonary nodules by 3D active contour segmentation: a phantom study
7BA63414	Sun sensor for orientation and navigation systems of the spacecraft
7C92A770	Looking at you: fused gyro and face tracking for viewing large imagery on mobile devices
7BBE8809	Improving spatial resolution of a fiber bundle optical biopsy system
253ABDF7	Powered Descent Guidance with General Thrust-Pointing Constraints
75E871EA	Simulation of the cosmic ray tau neutrino telescope (CRTNT) experiment
768905FB	Behavior interpretation from traffic video streams
79D4F76B	Photodetectors for OWL
7BD92598	Automated design and fabrication of ocular optics
7DB0C687	Results With the Neutron Scatter Camera
7D112EDD	Systems for the indication and display of secondary information in avionics and autobasing complexes
0173C396	Fields Of View Of X-Ray-Telescope Collimator Tubes
00FC872F	Fast systems composed of four spherical mirrors with an external focus
63D84D9F	Retrieval of PMC Scattering Phase Functions from Observations by the Cloud Imaging and Particle Size Experiment on the Aeronomy of Ice in the Mesosphere Explorer
7BA181DD	NGC?6811: An Intermediate-age Cluster in the Kepler Field
5AD39315	A Noise Equivalent Counts Approach for Optimizing I-124 Imaging Performance with a Small Animal PET Scanner
77041E5C	Astronomical characterization results of 1024 x 1024 HgCdTe HAWAII detector arrays
77CF1BD9	WE‐E‐201B‐06: Obtaining Increased Field‐Of‐View in Cone Beam Computed Tomography Using the Standard Centered Detector Geometry
7DC6322A	Precision calibration of radio interferometers using redundant baselines
8139519C	Observations on the microcirculation of the human burn wound using orthogonal polarization spectral imaging
08A5777A	Direct-Impact Algol Binaries in Kepler Fields: Light Curves
5F8B7DEC	White-light flares observed by Yohkoh
78FCF1A5	Autoclaveable miniaturized video endoscopes with simplified flip-chip assembly
7B819910	Remote sensing of winds and atmospheric turbulence by cross-correlation of passive optical signals
785598A0	A New Method to Determine the Size-of-Source Effect
77975BAE	Measurements of Solar Magnetic Element Motion from High-Resolution Filtergrams
782F851A	Cassini Imaging Science: Instrument Characteristics And Anticipated Scientific Investigations At Saturn
8018A53E	The determination of cloud altitudes using GOME reflectance spectra: multilayered cloud systems
0391442C	GRISM Spectophotometry of the Uranus Ring
7EF3B103	Automated Georeferenced User Position Tracking for Contextual Information Retrieval on Construction Site
802375B5	Three-Mirror Anastigmat Telescope with an Unvignetted Flat Focal Plane
5E9DF008	Initial performance of the RatCAP, a PET camera for conscious rat brain imaging
5E3DD65F	ANGAS: A new spaceborne resolution gamma‐ray spectrometer
7535B832	Real time implementation of distortion corrections for a tiled EMCCD-based solid state x-ray image intensifier (SSXII)
0A02B270	The Mars Science Laboratory (MSL) Mast-mounted Cameras (Mastcams) Flight Instruments
01ABF531	A New Lenslet Array for the NACO Laser Guide Star Wavefront Sensor
75FA2DC5	Unmanned Aerial Vehicle (UAV) operated spectral camera system for forest and agriculture applications
776591FD	High-speed dual-slot KCD for bone imaging
58728014	Model-based object tracking in traffic scenes
7D0BDB30	Keck Interferometer Observations of FU Orionis Objects
635F5BE7	Wide-angle imaging system with fiberoptic components providing angle-dependent virtual material stops
7CBAE56F	Effect of lung orientation on measurement and resolvability of airways using computed tomography
7A57EA7F	Image processing in the compound eye of insects
23A4A677	Blickbewegungen des Kraftfahrers im Strassenverkehr bei Tag- und Nachtfahrten
23A764B2	Longitudinal Assessment of Older Drivers in a DMV Setting
77D93A6C	Optical designs with wide field-of-view adaptive optics for IMAKA of CFHT
7C7DE649	The problem of directional sensors and effectors: Dwell time and aiming errors
604A113F	Data Prospecting with CORPRAL: Pre-attentive Vision Model at Work
063F269E	PMC Detection and Mapping Using Aura OMI Measurements
60BF6CF8	Full-Scale Schlieren Visualization of Commercial Kitchen Ventilation Aerodynamics
7F7B3ECD	Validating a scatterometer wind algorithm for ERS-1 SAR
