Paper_ID,Paper Title,Year,Indegree,Betweenness
7BCD3876,Statistical inference in retrieval effectiveness evaluation,1997,41,911
7F9906A5,Semantic similarity methods in wordNet and their application to information retrieval on the web,2005,40,289
7E4F317F,Learning concept importance using a weighted dependence model,2010,40,321
792C8D57,A knowledge-based search engine powered by wikipedia,2007,40,1110
75E377F7,Three-level caching for efficient query processing in large Web search engines,2005,39,493
7D1A4F7E,Robust classification of rare queries using web knowledge,2007,39,449
7A231634,Improving browsing in digital libraries with keyphrase indexes,1999,39,286
79C4F03F,Exploiting Query Repetition and Regularity in an Adaptive Community-Based Web Search Engine,2005,39,342
7F36F5F0,Page quality: in search of an unbiased web ranking,2005,38,1790
5BA011FB,Towards multidocument summarization by reformulation: progress and prospects,1999,37,727
8035BDA2,Results and challenges in Web search evaluation,1999,37,485
75830385,Fast generation of result snippets in web search,2007,37,444
8060D148,Understanding the relationship between searchers' queries and information goals,2008,36,561
68E8BBF8,Term proximity scoring for keyword-based retrieval systems,2003,36,709
7672C7FE,Interest-based personalized search,2007,36,217
7615AC2B,Examining the effectiveness of real-time query expansion,2007,36,323
79904BF4,Query expansion using associated queries,2003,35,529
77498402,Mining term association patterns from search logs for effective query reformulation,2008,35,226
804F4714,"Computers and iphones and mobile phones, oh my!: a logs-based comparison of search users on different devices",2009,35,815
7D3C8BA5,Training a selection function for extraction,1999,34,205
7E198BEE,Performance standards and evaluations in IR test collections: cluster-based retrieval models,1997,34,353
77EF6BD8,A new sentence similarity measure and sentence based extractive technique for automatic text summarization,2009,34,293
7FB812EE,Positional relevance model for pseudo-relevance feedback,2010,33,309
817004A2,From highly relevant to not relevant: examining different regions of relevance,1998,33,461
7C614CF5,Concept-based interactive query expansion,2005,33,246
81629BE2,Understanding the intent behind mobile information needs,2009,32,245
7CA0C9ED,Semantic concept-based query expansion and re-ranking for multimedia retrieval,2007,32,206
618AE54E,Ontology-based spatial query expansion in information retrieval,2005,32,259
7F5499CB,The loquacious user: a document-independent source of terms for query expansion,2005,31,232
7EE51354,Random sampling from a search engine's index,2006,31,274
7E274CB2,Optimized query execution in large search engines with global page ordering,2003,30,508
7F2563EC,Mining the search trails of surfing crowds: identifying relevant websites from user activity,2008,30,773
76FDA1E2,The automatic construction of large-scale corpora for summarization research,1999,29,463
7CE8BD2E,Predicting short-term interests using activity-based search context,2010,29,932
772D26C1,Multi-candidate reduction: Sentence compression as a tool for document summarization tasks,2007,29,259
78F32F19,Methods for comparing rankings of search engine results,2006,29,277
77C14875,"Interactive Internet search: keyword, directory and query reformulation mechanisms compared",2000,29,431
7DA6BF33,Efficient document retrieval in main memory,2007,29,313
7FF44DB0,Using association rules to discover search engines related queries,2003,28,324
7B2C4C8A,Query performance for tightly coupled distributed digital libraries,1998,28,328
79815880,Generating hierarchical summaries for web searches,2003,28,579
80A5BE29,Clustering query refinements by user intent,2010,28,361
7774EFD0,Clustering hypertext with applications to web searching,2000,28,199
7CFCDC4D,Beyond DCG: user behavior as a predictor of a successful search,2010,28,1118
05549EA5,Summarization Evaluation: An Overview,2001,27,256
75BEB42B,Phrasier: a system for interactive document retrieval using keyphrases,1999,27,627
7E3BD51D,Measuring index quality using random walks on the Web,1999,27,293
7F6257E8,Improved techniques for result caching in web search engines,2009,27,324
761ED64B,Fast phrase querying with combined indexes,2004,27,215
795DA831,Estimation and use of uncertainty in pseudo-relevance feedback,2007,27,226
75460A13,"End user searching: A Web log analysis of NAVER, a Korean Web search engine",2005,27,369
769981ED,An analysis of web searching by European AlltheWeb.com users,2005,27,1504
7F45F0A0,A document-centric approach to static index pruning in text retrieval systems,2006,27,824
7F145A42,MetaSpider: Meta‐searching and categorization on the Web,2001,26,377
7.64E+296,Event detection from evolution of click-through data,2006,25,203
80204C07,"Coverage, relevance, and ranking: The impact of query operators on Web search engine results",2003,25,227
7F84885B,Web-page summarization using clickthrough data,2005,24,223
7DC501D5,On scaling latent semantic indexing for large peer-to-peer systems,2004,24,284
7B4C83DA,A user-centered approach to evaluating human interaction with web search engines: an exploratory study,2002,24,259
7FAA8251,Context-aware query classification,2009,23,559
78BAAD4F,Automatic query expansion via lexical-semantic relationships,2001,23,632
7E06CC1A,University of Glasgow at TREC 2005: Experiments in Terabyte and Enterprise Tracks with Terrier,2007,22,405
8068C97C,Transparent Queries: investigation users' mental models of search engines,2001,22,880
812AF240,Improving category specific Web search by learning query modifications,2001,22,287
7E04E041,Expert agreement and content based reranking in a meta search environment using Mearf,2002,22,1248
0BDDD9D5,Defining a session on Web search engines: Research Articles,2007,22,2122
80601F25,A model to estimate intrinsic document relevance from the clickthrough logs of a web search engine,2010,22,515
75B4C886,Improving retrieval feedback with multiple term-ranking function combination,2002,21,981
7F92112D,High-performance web crawling,2002,21,331
75B54638,The Use of Web Search Engines in Information Science Research,2004,20,2553
8.1596E+18,Modeling user search behavior,2005,20,396
750B0B55,Learning to estimate query difficulty: including applications to missing content detection and distributed information retrieval,2005,20,360
8073330E,Human Performance on Clustering Web Pages: A Preliminary Study,1998,20,480
779A6B82,Efficient phrase querying with an auxiliary index,2002,20,315
5994AFF4,"Design, Implementation and Evaluation of a New Semantic Similarity Metric Combining Features and Intrinsic Information Content",2008,20,213
80580C10,The influence of caption features on clickthrough patterns in web search,2007,19,339
80BA2FE2,Result merging strategies for a current news metasearcher,2003,19,875
78690C37,Query expansion using gaze-based feedback on the subdocument level,2008,19,518
79324BB7,Image retrieval using multiple evidence ranking,2004,19,234
7CEC0259,Performance standards and evaluations in IR test collections: vector-space and other retrieval models,1997,18,722
7DC6347C,Adaptive ranking of web pages,2003,18,598
803F5B7E,What to be? : Electronic career guidance based on semantic relatedness,2007,17,206
769EF7DF,Design trade-offs for search engine caching,2008,17,483
7E0A2F08,Web Query Recommendation via Sequential Query Prediction,2009,16,382
78C4C907,Ultra-summarization (poster abstract): a statistical approach to generating highly condensed non-extractive summaries,1999,16,214
59F41337,Questioning query expansion: an examination of behaviour and parameters,2004,16,272
8152E571,Machine Learned Sentence Selection Strategies for Query-Biased Summarization,2008,16,467
78B98293,Learning to rank with (a lot of) word features,2010,16,205
7B21DAAF,Interactive searching and interface issues in the Okapi best match probabilistic retrieval system,1998,16,602
78C902A8,Intent-aware search result diversification,2011,16,200
77C43139,Improving Web search efficiency via a locality based static pruning method,2005,16,297
8064FA34,An efficient algorithm to rank Web resources,2000,16,543
7F520349,A large scale study of European mobile search behaviour,2008,16,961
7F5105EC,Refinement of TF-IDF schemes for web pages using their hyperlinked neighboring pages,2003,15,282
7F5D33B8,Learning about the world through long-term query logs,2008,15,211
7650C5AF,Just-in-time recovery of missing web pages,2006,14,207
7F2D36F1,Comparative study of monolingual and multilingual search models for use with asian languages,2005,14,351
800F1957,Using relevance feedback in expert search,2007,13,255
7F927BFF,Selecting text spans for document summaries: heuristics and metrics,1999,13,950
7F3039F4,Modeling and predicting user behavior in sponsored search,2009,13,319
8167F7AD,Applications of Lexical Cohesion Analysis in the Topic Detection and Tracking Domain,2004,13,237
7D7BB348,A statistical method for estimating the usefulness of text databases,2002,13,247
76D31FFB,Using navigation data to improve IR functions in the context of web search,2001,12,430
79DCF5D8,Towards a highly-scalable and effective metasearch engine,2001,12,639
593898EC,Space-Limited Ranked Query Evaluation Using Adaptive Pruning,2005,12,485
756961CF,ResIn: a combination of results caching and index pruning for high-performance web search engines,2008,12,204
7F7C734D,Do you want to take notes?: identifying research missions in Yahoo! search pad,2010,12,422
7B33D6C1,Are people biased in their use of search engines?,2008,12,349
808792AB,Learning to find answers to questions on the Web,2004,11,241
7E4E8326,Good abandonment in mobile and PC internet search,2009,11,693
80AD77C5,Efficient and self-tuning incremental query expansion for top-k query processing,2005,11,213
7F0B0193,Concept-Based F eature Generation and Selection for Information Retrieval,2008,11,347
80983CC9,Query expansion behavior within a thesaurus-enhanced search environment: A user-centered evaluation,2006,10,368
7BC0845F,Prefetching query results and its impact on search engines,2012,10,208
7C27A5F8,On the feasibility of multi-site web search engines,2009,10,420
75E9DD63,Matching task profiles and user needs in personalized web search,2008,10,329
6BEB397C,Access-ordered indexes,2004,10,599
768536B6,Value of search results as a whole as the best single measure of information retrieval performance,1998,8,519
7F434470,User-click modeling for understanding and predicting search-behavior,2011,8,259
7CF87701,Learning to Disambiguate Search Queries from Short Sessions,2009,8,418
80D11548,Computing text semantic relatedness using the contents and links of a hypertext encyclopedia,2013,8,208
7EC41F9C,Techniques for Efficient Query Expansion,2004,7,320
5ED02352,"Predicting query performance using query, result, and user interaction features",2010,7,223
7EF31353,IRIS at TREC-8,1999,7,408
7934DBE7,Methods for evaluating the quality of hypertext links,1997,6,390
79E0012D,Median measure: an approach to IR systems evaluation,2001,6,1442
80894666,Evolutionary Algorithm for Extractive Text Summarization,2009,6,346
7D4451F9,Context-aware search personalization with concept preference,2011,6,312
59A87761,ANU/ACSys TREC-5 Experiments,1997,6,294
59F6CC12,Italian Monolingual Information Retrieval with PROSIT,2002,5,360
597C5CA3,Document Compaction for Efficient Query Biased Snippet Generation,2009,5,263
8099A0B0,Automated gathering of Web information: An in-depth examination of agents interacting with search engines,2006,5,204
7EBD9904,Adaptive Personalization of Web Search,2007,5,212
7798D604,A unified environment for fusion of information retrieval approaches,1999,5,346
6CC42872,Recommending better queries from click-through data,2005,4,254
7.6626E+12,Query session detection as a cascade,2011,4,217
7FA8B8FE,Measuring search-engine quality and query difficulty: ranking with Target and Freestyle,1999,4,414
79F93579,Identifying User Goals from Web Search Results,2006,4,330
5D4ED671,A statistical model of query log generation,2006,4,316
7DCF9C8B,A Cost-Aware Strategy for Query Result Caching in Web Search Engines,2009,4,396
7D7555AC,Improving Web search using image snippets,2008,3,253
79988988,Adapting pivoted document-length normalization for query size: Experiments in Chinese and English,2006,3,204
79506099,Interactive Internet search through automatic clustering (poster abstract): an empirical study,1999,1,278
80F9C347,Beyond hyperlinks: organizing information footprints in search logs to support effective browsing,2009,1,296
