7E57CECF	7DC298E9 7606EBE8 78B7A78C 62964848 7C90426C 81B0C3D3 01AE3C96 77062B7E 7808B868 8202B022 7F5DD851 054B9F45 5BD3A1D6 5C3BA9B8 7AD346C3 7B77D742 24CDA433 764AA8A0 7C17EED3 21B0948D 80680204 7A86BA62 7FBE642F 7829DA2B 5A641F54 7A783D6D
7D8C6539	8021EC0E 5F02FE51 7821E695
6A41B17C	04CEB4FA 07037E43 7C43B6E0 5D08A30F 7E57300A 7876D5BC 7E921BC3 5DB58607 676555D7 739C7A59
6DF71145	76524BE9 7F817C4A 6EEC7B47 5B82D509 7FF6691C 0C5C0303 59F961F6 78E2EC66
77BAECF7	7D671DF3 7FB7505A 7E54AEFD 04507DFF 7C04A9BB 7D2A8C5B 7E9D9DD9 7D3C63EF 793730F3 79ED751D 7F88C3B5
8300DFD1	7535F195 7F3E6D9E 7543F452 7E3012D1 7C4E0F8A 7677A417 7821E695 7A6AB10D 7F6839AF 7F43225B 7D866214 78836E79 758E0C19 8021EC0E 5F02FE51 80A3C349 799C138D 83697F73 7A3127CD
6DE3C710	7F77DE25 05465F93 77D66D04 7E7FD593 75ADB51D 7E895521 8046F059 80E5EC96 7A6B223E 7D7C040E 77586EA4 77F3B18C 7FE3BCB8 7BF3F641
58D9D415	08059126 7EDD1CFB 77267DD5 7BAE947C 04A01478 081593C5 0C2427B7 5E6558E7 09287889 7EA9C51B 7F158EEB 5F8220F2 0A95D236 586D37B9
7BF3EF59	7336C175 7ED70D1C 80F5CBE8 7DE3BCB2 782D6E54 7DE95D5F 0276D19B 097119CD 79A55FE5 80F345B3 78D92F23 75B9D8FB 5FB4DE45 81096197 80D61435 5DB1C3C2 0F50EF7A 788ED727 58A0879F 0B20EFAE 59733D15 80C29CD7 7527FE4D 7025C87F 04ABD616 7E8AE3F8 031E7496 5B76441E 771E1E32
8095D8F1	7E930E7E 8147613C 7B4906A8 7D428ACD 61D04767 80011B76 5FDB189F 79D8F349 6B21CF17 803850B3 8066961E 76729A32 7EC4EA59 813CB150 7E541D27 7A7C6194 806BD306 7DCE5DC2 77E84407
812B5BB1	58AC999E 79420095 6DFBA896 5B06618B 7362753E 0845D932 5864365C
774E3632	7F4C20D4 7516510C 7F868FF4 7C8D5915 7A48B9F8 7A819D7C 7EBF05B9 8052477C 101E6398 81395CC8 791074FF 768B0314 7B816A79 813BC736 80A8CCF8 82520A7C 7BEE04DB 763B13EB 77D3DF5A 76FC914D 7DD0DE74 6409AE20 7B9B3391 77467DC6 5E0FF626
7FA2B0F9	7DC5C2E7 79FC7960 8030F4A3 7F31F3B8 80206EBE 71F8B00F 7D108052 7F772D4B 57293A5E 8021EC0E 7D0720A9 7F72BDDA 7D48DDD5 5D373E24 77E7A977 7E308670 59515203 811B4A48 7DDC13BB 8173F39A 7E51E141 8016E604 7EAC8F8C 7C40A2CB 7E9D3359 79867488 7DC911FD 627A4EEA
7E644DCC	7FFB34E3 75E4A2F0 71F8B00F 5E848630 64206AD3
7A2F43A3	5FF830BB 5BE8F066 7B4D7F02 7DE0AD5D 80983436 75DFA220 7F999BAD 7C9E1AE9 78696ADA 018DDBD7 812D511C
73F730A5	04672525 756CF312 779666A5 7BA7A523 584FDA5E 5C0E3519 7FFB34E3 7D901B1F 5F02FE51 762A8ABC 7B6D483F 7F16474F 6D504835 78ADA8D7 7CE84109 070499C9 80FB49A7 791D84CE 76F6A597 6428C27D
7A927009	5D9B2305 7FBB8354 806D3D69 7BFCD940 5D554CDB 7D28A9CB 71AAD2F4 8040854B 767F8447 7F3DB5D1 5B7248FC
815F2F2A	811AE730 7DB128FE 7C262353 7FEE91F6 762461D0 7CEB4D0E 763BC846 80F26808 7852397B 7B76FF0D 7FC45FB5 77CFAC48 7B910C1C 7CA6172E 78625C53 7DCB017E 4A3497DE 7C4FB549 7DA4B3C8 7C772D10 5E06EBBE 753B9EE4 750A350E 79D7E713 7A8E4B1E 7C36C74E 80F51342 7694448D 7F7E2426 784394A0 7F6C67FE 80D6B343 77CB7A72 7A72861B 03DA1C01 7AA2198E 76C7B72E 812FADA1 7B650563 7A2756AB 7E88AA0D 7FB5BB0B 8000C855 75136A70 76975E8A 7B50A4BB 77412265 7901FA88 7D7DCFEB 813B8568 77EA492E 783C7CBB 7C8D9403 80AE5AD6 267FB866 7E280521 81DC7B26 7E53AC45 7A022E5C 7FB5967F 63150BDF 7A8EF740 85F57253
78E71A66	7916DCE4 7D0914AB 7EC9641C 7D787546 7DEC25C1 80FA8490 800B30B3 755D9F8C 7EC13DF4 764CE45B 7E921B21 7754C1A9 7B9823ED 5B24D7B1 7D5F759A 801C8ADD 7B387BC9 80D9E3A4 7A37CEAC 79502F6F 7B49205D 7ED89748 011AC865
7EACF949	8021EC0E 7EA9C51B 593D3177 5F02FE51 5DFE89CF 75095B3C 0098045A 7A3EE839
766E5517	7E41E3DF 583784A0 7688BDE1 812FADA1 82482AE9 768C5385 75310136 778FBCC7 7B2DA5F8 78987DFE 7DCC7686 750F7E24 79444244 7BF71056 5BA9A546 7AC41EE1 7EEAAA40 7BD938CC 81237F2B 7BCC9647 04CB1FA8 7987EFAC 75E855BC 803D15CC 804C9E31 80BCC314 7885EE2B 7B8820B5 77623B90 7A197C88 77625BB3 7C94030F 7B2DFFFB 7A555D96 7C8D6677 7CE58BEC 7818E928 7F183B29 7A4F1FCF 8241A483 78CA897C 09C53165 08D12BC6 7AA85C0A
