58F5235B	7B3DE5B2 7C7DFCB4
7B6F6C87	77F22535 761070B6 7CEAF6EF 75FFA327 7BEDF157 79EE91E8 7DB6CB3D 80C9F5FA 7985B229 7534007E 61BD4AF1 80A203CA 6E617CFB 7EC6D81E 5A9FD568 788939D7 7DEE5131 76ABED67 5FC06025 7A003136 8055257B 7E2C4679 813F1CE2
80F2D5E3	7911BB5A 7D978252 7F236AEE 7ED2629A
80CD36B9	4562CC64 7F0E2B98 80F22510 80A5F326 76749128 7BECFF40 7C93ED02 7E385865 7B842448
8071B2FD	8119E019 7EAA6952 58C55DD8 77F78EF6 78AE225E 7F57CF47
7DA91F53	8089CA41 004FEAD7 5F845BFB 7F127096 7E0458CC 7CFCA30D 80BB4AA9 7F57CF47 6E05A191
7FE858F6	75BE9857 7EDFE9E0 7C8A1891 7D43818A 80D5E58C 7ECAC6F5 7576667A 8034D228 7CEAF6EF 786AD364 7FCCCBB3 7E7B912E 7D2266CC 7ED2629A 7FB6C971 6C87D98B 7E45BA76 7EB0B9DE 61BD4AF1 7E1E19B3 5F925181 814883EE
7BCE3CF3	7D9BE63D 7F5CD3E8 758A1C48 7AD9098F 7C54FD1B 80AB20C3 06905581 77ECDAC1 77AFA0C8 7F2A66C5 7F501EAC 7A09038A 7E0D08CA
7812615D	77610135 7C0FCEB9 7EFA7974 6D8E259D 75173AFB 0575FA62 0079A41D 76A4A31F 79206A87 7D122D65 7F772360 80B7ECB1 0640C636 074F190B 590D8BDF 08F606DD 754A1A46 0AF99699 0A32CC70 78AC0104 7C670E08 7FE2C8DA
7F89724A	7F2D46F9 7F9C7463 7E634038 09D68A27 78AE225E 750BAA16 7F61E286 7E1F22B8 7E2EE538 5A210867 80194CA7 5F480362 79CA1867 7D2FB3E4 814E7A5E 8033908E 7812615D 715E5963 760A751E 7F57CF47 074F190B 7EA703CB 2D4B143D 7A8812DE 7F6B2649 7E3086E2 7785DF1C 78CFCE05 7ED2629A 5990ABA8 7FE2C8DA 61BD4AF1 80A4AD64
7EB1E5D2	58A0892D 792647DE 7EC6D81E 783FB087 7F01B239 78AC0104 7F308402 5BED7DA7 7F0745BF 5FC06025 769E5598 799A30E3 7E0173B4 7FF5C4D5 80E03A19 5FFC6186 7ED2184D 7D43818A 5866EF99 79431B03 7C324A97 7FD3F318 5E073B31 5EFBC56C 7FCCCBB3 79B59229 7905F409
5A561DA2	815809F5 708463F6 5C936206 7DAD1B08 7ED2629A
5E6BBA12	037A9827 7E8C6F5F 74A4055A 77366571 811F6C1A 80FE817A 7BE89C26 808038DD 7B47CDFC 7A79D55C 38813BB0 5C59C1F0 7F39E1E3 5A76B598 7737005F 7EAA4621 767C7428 7EF9121B
7EE73B1E	77879477 7EEA1874 5F56A7F0 7DC05F97 7C670E08 754A1A46 7933B5C3 79BA7BE4 83192C68
807E61E3	59F79BCA 7EE49089 802537A3 5C07566E 7DEDD133 80BA539A 5FE4BF92 7E7924FB 7EA81812 04F944F2 5CC35A43 7CD307C1 5D56F76C 7E182C42 5E53F9E7 7686C41F 0799202A 81592338 7E3FA2EF
7D3D811B	78EE04AF 7ECC5C87 75F67366 7D035B49 77AC8743 789B87FD 79DAB239 781B0360 77E6FDB7 77345565
7DF8ED0E	8057A35B 79206A87 603A50C9 070829D2 004FEAD7 7CF1E285 80B7ECB1 7DB6CB3D 75173AFB 7A8AB444 389B64FE 0589BD70 0BC116E8 5F743477 7EA703CB 7E3E0BA5 5B370569 815003FB
7D386E49	7E26B944 8063A28A 80CD3382 7F353CF4 7DAF600A 804D3CCD 7DF964A2
80DABC7E	7878C851 7F9204C0 078EC177
7D5EDCF5	804D3CCD 0B400099 58D054D2 61BAF8DD
817A3D88	7F66C647 7A1F8977 7A2BDBF6 7ED2629A 7C247AE7 7D5F1916
5B8D2983	81666F86 7CE59B31 7F46C2C7 7F71883A 5CC4C3AD 7971D332 7FEB147C 7787F887 7AC65EAC 7EBF6541 75F27A24
309C20F9	7ED2629A 80A7C174 7FFA958A 7F66C647 7CD32C52 5F997F36 7812615D
769E9999	7D41B174 80E0ADE7 7698751A 78C08128 80B55E2C 7ADC8687 7C8AE554 80A5F326 75C0EAA0 81E8FAB3 7D34B615 61BD4AF1 58443619 7D94D55B 80A4AD64 06080A8A 5E0E4653 7D61C7F9 06BFFD18 7F57CF47 7A34507C 5CFBEC12 7F22C203 7DB6CB3D 7D2FC0F2 7C857B2D 78E5CA0D 7F9A91B7
80E2C688	5EC9D138 779B44E8 5B370569 04290D7E 7F186029 5C891CBE 01E272A1 5884E5F7 8102B723 7EA5C558
808E9B2B	7D891CC1 80439F0B 0ACCDCE7 5D68F10B 804DEE03 5F5ADA1E 7EB1E5D2 75FB606F 79E879ED 5EFBC56C 8117F8D0 5B0D0ABF 5A76BD86 5ECD0D32 5AF81BF1 80C5A13B 3248E76F 792647DE 7E036F6D 7FD3F318 7F7499B9 5D268EF2 793187D8
800221EF	248DEE1C 70A24CBC 7DAC0246 80F4979A 5BF4BE67 5AFDA480 802C0EC1 8081B3FE 7EE69DC8 7EFDB5CC 7E603447 78FF0CA9 7FBF4E8E 7FACB243 757D9E22 8149B613 802D9498 802D1698
7EB5A782	7E3E0BA5 76E8C832 7D562159 7812615D 80EC24E2 603A50C9 7ED2629A
8028A05D	7A187E3A 7F0E2B98 4562CC64 7F2DF9D3 7EEE52F6 5D51A3A8 7E23C1C2 7F28FED1 053447D4 7F5E4895 5E82299F
8098EAF0	7812615D 8025C5D6 8086EBAD 80F09C92 7F66C647 7FE2C8DA 76C408D6 808EDD1B 7FE37086 77F86F6F 7FC8EB09 7FEBA23B 7CB4AEC3
8154CD11	016BB7CF 0B524409 75E76467 5DA923B6 590AB42B 71A83957 5EE1BA2E 7F586DB0 7DE5422B 7E3E0BA5 79D51381 7E5BE2C1 7D08720D 815809F5
7D4ECDDB	7AE401C7 806C38BC 754A1A46 7F35AD83 7DB6CB3D 5F743477 81613D19 61BD4AF1 80A1D9C2
7D5554D4	804B7A09 08DCFB00 7824FBCE 7E58189A 5CD7006B 7812615D 7F28FED1 7F0E2B98 070829D2 7E23C1C2 658170DB 76D8D49C 78B5C293 010ECD77 7EDA8845 4562CC64 61BD4AF1 7C5C76B5 80A5F326 7E385865
802A38A8	7960AC73 7AA5F895 811AB508 7B4E1C8A 7F89B571 800EB89E 80081F81 7FD3F318 7FF5C4D5 779E4A8B 7C5EC8F1 61BD4AF1 7EB1E5D2 8021D4DD 7CEAF6EF 7FB7A7CE 7930858D 776E9659 76FE0AD5 79431B03 7D891CC1 7EC9B1CE 7DCA2D89
781BC823	5E4FD53A 7B61551E 8023C3D2 801FFE7D 26D11D20 7ED2629A 09C30065 075DF1C7 8041E60C 008B8404 813D5FF4 7FA49982 80EB1579 7A8AB444 7812615D 863E7A06 75B44174 5962D54F 7E122A22
7EDC555D	80E74D69 800033E0 7ACF7D5A 8034D228 80220EED 7F64333B 77495858 76456EEF 6125ADC0 789E1880 074F190B 76DF451A 7B998C1D 5B370569 7EE73B1E 7DFE3C07 61BD4AF1 597F9DED 7D36DB2C 75164B99 7FD04324 790BB3E4 7A98507C 7B43EEE6
80DA9D2E	7C0FCEB9 773EA7FF 7CEA8C2F 7F57CF47 7ED2629A 008ED00B 7A84A559 7FE2C8DA
7E655DA1	7A94285D 7678D6D6 7B42B7E0 7C0FCEB9
7CF57643	6D707823 05D13995 6BA0CE9E 7EA703CB 8069A8EB 7EEF99F4 7F5003BD 80D8A7FD 810E9429 586FA6C7
813495CE	5B8A072A 027A8239 804DEAD8 81573286 7FA2E706 6C807279 7E34EBE5 7ECA4363 6DFBC92B 80A1A1AD 7E40E450 7F475D0B 02D0AA66 7F0475EB 7D00AEB0
76A7D81C	7DAF600A 7AB42F06 756B8EB9 7D93D7E7 7F096C6C 7E26B944 7520A706
7627B1FC	7692FE65 7F64333B 7A5FD89F 7567F34F 7A245148 61BD4AF1 80A203CA 754A1A46 75FFA327 7EC8B8E4 7FB3ABDE 80DD0CB0 813F1CE2 786AD364 8034D228 80C42FCB 7A1F8977 7A0E2FAC 7EA703CB 77A1C7DD 8060E723 811D1AB9 7DB6CB3D 7ED2629A 7F35AD83 80B3C828
81629BFB	7F308402 00D8676E 7E7B912E 7F0745BF 7E0173B4 783FB087 79B59229 7905F409 7D4DDBC5 7E664173 69385BAE 7827B0B7 8021D4DD 7EC779DF 792647DE 80A09833 7EFA48E0 798408CE 697994C4
59BF908C	5CBA44A3 7DAA022E 83C84037 80ECE652 7D877049 7AFC0FFF 79DA2A84 7D9701E9 76C6915C 7DE34E05 04F79664 7B03C437 5F303286 5DF8ADD0
7F15561A	8064D5B5 792647DE 5866EF99 7FDE1A1F 7EC8F0E9 5EFBC56C 751DF7E7 7EB1E5D2 7FD3F318 769E5598
